hidden_layers,activation,solver,max_iter,accuracy,f1_score,cv_mean,cv_std,cv_fold_1,cv_fold_2,cv_fold_3,validation_fraction,n_iter_no_change,learning_rate,alpha,batch_size,learning_rate_init,momentum,nesterovs_momentum,early_stopping,tol,n_iter_,n_layers_,n_outputs_,timestamp
"(300, 150, 75, 35)",logistic,sgd,500,0.8125,0.4482758620689655,0.4482717697670969,0.000461544257116263,0.4485981308411215,0.4485981308411215,0.44761904761904764,0.15,15,adaptive,0.0001,auto,0.001,0.9,True,True,1e-05,97,6,1,2024-12-27 02:09:23.100699
"(300, 150, 75, 35)",logistic,sgd,1000,0.8125,0.4482758620689655,0.4482717697670969,0.000461544257116263,0.4485981308411215,0.4485981308411215,0.44761904761904764,0.15,15,adaptive,0.0001,auto,0.001,0.9,True,True,1e-05,97,6,1,2024-12-27 02:09:25.354172
"(300, 150)",logistic,adam,2000,0.8125,0.4482758620689655,0.4482717697670969,0.000461544257116263,0.4485981308411215,0.4485981308411215,0.44761904761904764,0.15,15,adaptive,0.0001,auto,0.001,0.9,True,True,1e-05,18,4,1,2024-12-27 02:04:09.711271
"(500, 250, 125, 60)",logistic,sgd,200,0.8125,0.4482758620689655,0.4482717697670969,0.000461544257116263,0.4485981308411215,0.4485981308411215,0.44761904761904764,0.15,15,adaptive,0.0001,auto,0.001,0.9,True,True,1e-05,97,6,1,2024-12-27 02:12:26.855671
"(10, 10, 5)",logistic,adam,200,0.8125,0.4482758620689655,0.4482717697670969,0.000461544257116263,0.4485981308411215,0.4485981308411215,0.44761904761904764,0.15,15,adaptive,0.0001,auto,0.001,0.9,True,True,1e-05,17,5,1,2024-12-27 02:01:22.466598
"(10, 10, 5)",logistic,adam,500,0.8125,0.4482758620689655,0.4482717697670969,0.000461544257116263,0.4485981308411215,0.4485981308411215,0.44761904761904764,0.15,15,adaptive,0.0001,auto,0.001,0.9,True,True,1e-05,17,5,1,2024-12-27 02:01:22.539104
"(10, 10, 20)",tanh,sgd,1000,0.8125,0.4482758620689655,0.4482717697670969,0.000461544257116263,0.4485981308411215,0.4485981308411215,0.44761904761904764,0.15,15,adaptive,0.0001,auto,0.001,0.9,True,True,1e-05,97,5,1,2024-12-27 02:01:53.161317
"(10, 10, 20)",tanh,sgd,500,0.8125,0.4482758620689655,0.4482717697670969,0.000461544257116263,0.4485981308411215,0.4485981308411215,0.44761904761904764,0.15,15,adaptive,0.0001,auto,0.001,0.9,True,True,1e-05,97,5,1,2024-12-27 02:01:52.927801
"(10, 10, 20)",tanh,sgd,200,0.8125,0.4482758620689655,0.4482717697670969,0.000461544257116263,0.4485981308411215,0.4485981308411215,0.44761904761904764,0.15,15,adaptive,0.0001,auto,0.001,0.9,True,True,1e-05,97,5,1,2024-12-27 02:01:52.692860
"(300, 150, 75, 35)",logistic,sgd,2000,0.8125,0.4482758620689655,0.4482717697670969,0.000461544257116263,0.4485981308411215,0.4485981308411215,0.44761904761904764,0.15,15,adaptive,0.0001,auto,0.001,0.9,True,True,1e-05,97,6,1,2024-12-27 02:09:27.625531
"(10, 10, 20)",tanh,sgd,2000,0.8125,0.4482758620689655,0.4482717697670969,0.000461544257116263,0.4485981308411215,0.4485981308411215,0.44761904761904764,0.15,15,adaptive,0.0001,auto,0.001,0.9,True,True,1e-05,97,5,1,2024-12-27 02:01:53.395017
"(500, 250, 125, 60)",logistic,sgd,2000,0.8125,0.4482758620689655,0.4482717697670969,0.000461544257116263,0.4485981308411215,0.4485981308411215,0.44761904761904764,0.15,15,adaptive,0.0001,auto,0.001,0.9,True,True,1e-05,97,6,1,2024-12-27 02:12:38.194451
"(500, 250, 125, 60)",logistic,sgd,1000,0.8125,0.4482758620689655,0.4482717697670969,0.000461544257116263,0.4485981308411215,0.4485981308411215,0.44761904761904764,0.15,15,adaptive,0.0001,auto,0.001,0.9,True,True,1e-05,97,6,1,2024-12-27 02:12:34.463327
"(500, 250, 125, 60)",logistic,sgd,500,0.8125,0.4482758620689655,0.4482717697670969,0.000461544257116263,0.4485981308411215,0.4485981308411215,0.44761904761904764,0.15,15,adaptive,0.0001,auto,0.001,0.9,True,True,1e-05,97,6,1,2024-12-27 02:12:30.644391
"(10, 10, 5)",logistic,sgd,1000,0.8125,0.4482758620689655,0.4482717697670969,0.000461544257116263,0.4485981308411215,0.4485981308411215,0.44761904761904764,0.15,15,adaptive,0.0001,auto,0.001,0.9,True,True,1e-05,97,5,1,2024-12-27 02:01:23.499024
"(10, 10, 5)",logistic,sgd,500,0.8125,0.4482758620689655,0.4482717697670969,0.000461544257116263,0.4485981308411215,0.4485981308411215,0.44761904761904764,0.15,15,adaptive,0.0001,auto,0.001,0.9,True,True,1e-05,97,5,1,2024-12-27 02:01:23.217731
"(10, 10, 5)",logistic,sgd,200,0.8125,0.4482758620689655,0.4482717697670969,0.000461544257116263,0.4485981308411215,0.4485981308411215,0.44761904761904764,0.15,15,adaptive,0.0001,auto,0.001,0.9,True,True,1e-05,97,5,1,2024-12-27 02:01:22.948711
"(10, 10, 5)",logistic,adam,2000,0.8125,0.4482758620689655,0.4482717697670969,0.000461544257116263,0.4485981308411215,0.4485981308411215,0.44761904761904764,0.15,15,adaptive,0.0001,auto,0.001,0.9,True,True,1e-05,17,5,1,2024-12-27 02:01:22.681217
"(500, 250, 125, 60)",identity,adam,2000,0.8125,0.4482758620689655,0.5005555847661111,0.03748659050617302,0.5245421245421246,0.529505582137161,0.44761904761904764,0.15,15,adaptive,0.0001,auto,0.001,0.9,True,True,1e-05,17,6,1,2024-12-27 02:13:31.528014
